,Name,Author
0,20-grune-hauptwege-koordinaten-fur-spazier-und-wanderstrecken-mit-einer-gesamtlange-von-ca-600k,Senatsverwaltung für Stadtentwicklung
1,3d-gebaudemodelle-im-level-of-detail-1-lod-1-atom-07465091,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
2,3d-gebaudemodelle-im-level-of-detail-2-lod-2-wms-f2a8a483,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
3,3eurticket,Senatskanzlei – Kulturelle Angelegenheiten
4,abschlussbericht-der-ag-open-data-berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe"
5,adressen-berlin-wfs-baeb119b,Amt für Statistik Berlin-Brandenburg
6,adressen-berlin-wms-130748fb,Amt für Statistik Berlin-Brandenburg
7,adressen-im-inspire-datenmodell-wms-ee802686,Amt für Statistik Berlin-Brandenburg
8,aktuelle-kamerale-monatsschreibung-des-bezirks-friedrichshain-kreuzberg,"Bezirksamt Friedrichshain-Kreuzberg, Finanzservice"
9,alkis-berlin-amtliches-liegenschaftskatasterinformationssystem-wms-78d98821,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
10,alkis-berlin-bauwerke-linien-wfs-04e712fc,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
11,alkis-berlin-bauwerke-wfs-aac5252c,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
12,alkis-berlin-besondere-flurstucksgrenzen-wfs-d7cee9d4,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
13,alkis-berlin-flurstucke-wfs-22e633ff,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
14,alkis-berlin-flur-wfs-6bbf9817,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
15,alkis-berlin-gebaude-linien-wfs-3d3c53c2,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
16,alkis-berlin-gebaude-wfs-f51f493b,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
17,alkis-berlin-gemarkung-wfs-888521ec,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
18,alkis-berlin-gemeinde-wfs-3fbfcbce,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
19,alkis-berlin-gewasser-und-vegetationsflachen-wfs-20322e6b,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
